metric,value,detail
observations_total,71,
raw_sources_total,48,
derived_metrics_total,71,
unique_record_id,true,
records_with_cpp_and_ch,39,
records_with_calculated_density,39,
records_with_reported_density,25,
records_with_sram_bitcell,42,
review_required_count,34,"density mismatch >25%, missing inputs+reported density, or low-confidence geometry used for calculation"
missing_source_reference_count,0,
review_required_record,tsmc_n28_28hpm_hpc_generic_logic_001,missing_cpp_ch_and_reported_density
review_required_record,tsmc_n7_n7_euv_hd_like_public_relative_only_006,missing_cpp_ch_and_reported_density
review_required_record,tsmc_n4x_n4x_hpc_hpc_beol_stack_optimized_library_not_public_014,missing_cpp_ch_and_reported_density
review_required_record,tsmc_n4c_n4c_cost_optimized_cost_optimized_public_library_not_found_015,missing_cpp_ch_and_reported_density
review_required_record,tsmc_n3b_n3b_hd_initial_n3_hd_finfet_016,missing_cpp_ch_and_reported_density
review_required_record,tsmc_n3p_n3p_finfet_ppa_optimized_library_not_public_020,missing_cpp_ch_and_reported_density
review_required_record,tsmc_n3x_n3x_hpc_x_public_library_not_found_021,missing_cpp_ch_and_reported_density
review_required_record,tsmc_n2_n2_1st_gen_nanosheet_standard_cell_geometry_not_public_022,missing_cpp_ch_and_reported_density
review_required_record,tsmc_n2p_n2p_nanosheet_extension_standard_cell_geometry_not_public_023,missing_cpp_ch_and_reported_density
review_required_record,tsmc_a16_a16_nanosheet_super_power_rail_geometry_not_public_024,missing_cpp_ch_and_reported_density
review_required_record,intel_foundry_intel_18a_p_18a_p_performance_extension_geometry_not_public_034,missing_cpp_ch_and_reported_density
review_required_record,intel_foundry_intel_14a_14a_14a_e_next_gen_ribbonfet_powervia_geometry_not_public_035,missing_cpp_ch_and_reported_density
review_required_record,samsung_foundry_14lpe_14lpp_14lpp_generic_logic_036,missing_cpp_ch_and_reported_density
review_required_record,samsung_foundry_5lpp_5lpp_sf5_public_library_not_isolated_042,missing_cpp_ch_and_reported_density
review_required_record,samsung_foundry_sf4p_sf4p_public_geometry_not_isolated_045,missing_cpp_ch_and_reported_density
review_required_record,samsung_foundry_sf4x_sf4x_hpc_beol_optimized_geometry_not_public_046,missing_cpp_ch_and_reported_density
review_required_record,samsung_foundry_3gae_3gae_1st_gen_mbcfet_public_relative_only_047,missing_cpp_ch_and_reported_density
review_required_record,samsung_foundry_sf3_3gap_sf3_2nd_gen_mbcfet_public_geometry_not_disclosed_048,missing_cpp_ch_and_reported_density
review_required_record,samsung_foundry_sf2_sf2_hd_xhd_xhd_lower_area_library_enabled_049,missing_cpp_ch_and_reported_density
review_required_record,samsung_foundry_sf2p_sf2p_hpc_extension_geometry_not_public_050,missing_cpp_ch_and_reported_density
review_required_record,globalfoundries_14lpp_14lpp_std_cell_10_5t_052,low_geometry_confidence_used_for_calc
review_required_record,globalfoundries_12lp_12lp_autopro150_logic_cpp_84_ch_not_public_054,missing_cpp_ch_and_reported_density
review_required_record,umc_28nm_28hpm_hlp_hpc_faraday_7_track_minilib_060,missing_cpp_ch_and_reported_density
review_required_record,umc_28nm_28hpm_hlp_hpc_faraday_d_r_9_track_generic_061,missing_cpp_ch_and_reported_density
review_required_record,umc_28nm_28hpm_hlp_hpc_faraday_12_track_uhs_lib_062,missing_cpp_ch_and_reported_density
review_required_record,umc_22nm_22ulp_22ull_synopsys_faraday_foundation_ip_063,missing_cpp_ch_and_reported_density
review_required_record,umc_14nm_14nm_finfet_generic_foundation_ip_064,missing_cpp_ch_and_reported_density
review_required_record,smic_14nm_14nm_generic_logic_065,missing_cpp_ch_and_reported_density
review_required_record,smic_n_1_n_1_early_7nm_class_hd_066,low_logic_density_confidence
review_required_record,smic_n_2_n_2_7nm_class_secondary_table_g63h250_secondary_table_forum_g63h252_conflict_note_067,low_geometry_confidence_used_for_calc; low_logic_density_confidence
review_required_record,smic_n_3_n_3_kirin_9030_g57h228_6t_forum_lead_068,low_geometry_confidence_used_for_calc; low_logic_density_confidence
review_required_record,smic_n_3_n_3_kirin_9030_secondary_table_n_3_069,low_logic_density_confidence
review_required_record,umc_28nm_28hlp_hpc_hpm_d_r_ip_listing_7_track_9_track_12_track_product_entries_cpp_ch_not_070,missing_cpp_ch_and_reported_density
review_required_record,smic_n_2_n_2_7nm_class_techinsights_confirmed_geometry_not_in_free_ti_page_measurement_cat_071,missing_cpp_ch_and_reported_density
